offering_id,user_id,overall,value,service,location,rooms,cleanliness,sleep_quality,review_text,sentiment,limpeza,atendimento,localização,alimentação,preço,conforto,wifi,instalações,priority
90973,1ECC84F2CD9D669A02D5EE20B697605E,1.0,1.0,,5.0,1.0,2.0,,"“Free bad attitude at Allerton!” We got stuck with the Allerton on Priceline. My wife and I visit Chicago often and have stayed in more than 10 different hotels there. My experience with using Priceline is that most hotels will tend to give you the less than desirable rooms, so I called the day before my stay to book a King non-smoking room. I was told that they couldn't promise me that, but that they were not very busy and that it shouldn't be a problem. Check in is at 3:00, we got there at 5:15 and was told there were no clean rooms available unless I wanted a smoking room with a full size bed. I told them either a King or Queen would be fine but it's got to be non-smoking. The reservation clerk quickly pointed out that because I was a Priceline customer they could pretty much give me what they wanted to, but if I would come back in an hour they would have something ready. Great.... I come back in an hour and it's still another 20 minutes until they can get me a room. Finally, at 6:30 we got a non-smoking Queen. This place is old and the rooms are tiny. Although I did have a great view of the Magnificent Mile, the room was very worn with torn shades, water damage to the ceiling and cobwebs in the corners. For the money, the only thing this place has going for it is the location. I now know what it feels like to be in a cocoon.",negativo,1,1,1,0,1,1,0,0,alta
1456416,E7BD8A0ED1554B99188C30DD63B2CC2C,2.0,2.0,5.0,5.0,1.0,5.0,5.0,"“Not Worth The Money.” First off let me say the Hotel is in a woderful spot in the city.There is a subway entrance right out side the door.China town is 3 or 4 blocks south.There isnt much after dark around the Hotel so plan ahead.There is a deli 2 blocks away and a Starbucks that closes early for a starbucks. -----The Hotel charges $150 a day for incidentals.Plan ahead. I didnt and was shocked when told I had to pay that. I also had all the junk removed from my room so that I couldnt be charged for it.. -----If you use the phone even for local calls you will be charged $1.50.You can talk all you want I guess but you still get charged the intial $1.50.. -----When I stayed weekend of April 22. The Hotel is only Half open.Floor 27th is the highest that availble....Pool not done. Spa not open. SoHI not open. ----- If you goto the Trump site there isnt a picture of the rooms.You would think they would be able to take up to date photos and put them on the site.Theres a reason there isnt actual photos on the Site. -----Also if you want to use the internet its $14.95 a day.For unsecured wired/wireless connection. This is 2010 everyone uses the internet these days. ----- I feel I was nickled and dimed. It seems as though if you stay here you are helping train the staff. I know that currently it is availble for a discounted rate. There is a reason.. I had a Supuerior Room. It is small.Had I brought my wife we wouldnt have had any room in the closet for clothes.There were like 6 hangers. I was disapointed and was up graded to a Deluxe. Which ment it was a little bit bigger but still small. In both rooms the Bathroom was the only bright spot. It had a large deep tub next to the window.The shower was a nice.You have 2 choices. There is a wand where the water shoots out and a non adjustable rain head over head.I have stayed in NYC.The room was small. Its only a 5-star hotel if you care about the Taschen books and bench thats worth $1500. I dont care about any of that. You dont go to NYC to pend all day in the Room. +++ The maid service was beyond belif.They come by 2 times a day.They folded my clothes. ++++ Door men were outstanding as well.Always nice,polite and friendly. ++++ The view while looking out the window was nice.I could see Empire State building ,the Brooklin bridge,Another bridge and central park..I will say if you had a room at the top there isnt a better view in the city from a hotel. ++++ The bed was really soft.I slept well on it. In closing I dont feel right now its a 5-star hotel.It will be in the future.There is no way I would pay the prices that the hotel will ask for in the future.I didnt want to pay the $300 a night even if it was fully open. The rooms are to small. I guess I can say I stayed there when the Celebity Apprentice Final shows. For the price go stay else where..",negativo,1,1,1,0,1,1,1,1,alta
99307,95C08B40B0A707AC50F59E194EB4BBFD,2.0,2.0,2.0,4.0,2.0,2.0,,"“All Is Not Well At The Wellington” I was fortunate to get a VERY good price through Priceline. However this was not a 3 star hotel. The first room I was offered smelled like urine. They graciously offered me another upgrade and it did not smell. However one could not regulate the heat,and it was very hot. So I regulated this by sleeping with the window open all night and this was in December. All the guests were complaining about the heat. Although ""clean"" the toilet fixtures were covered with rust and paneling was coming off the doors. The room doors are very heavy and whenever your neighbor leaves their room the door slams shut unless they happen to be very attentive and kind. There was also renovating going on early i the morning. The staff was kind. I guess they have much to make up for.",negativo,1,1,0,0,1,1,0,0,alta
77888,ADC3428D822BCA127C73F67E08DAA835,2.0,3.0,5.0,4.0,2.0,2.0,5.0,"“Old hotel. Room was in need of renovation. Bathroom disgusting.” As a Diamond Member chose to stay here instead of the JW Marriott by the convention center. The front desk staff were very pleasant. The lobby and restaurant area was nice. The room was my only complaint. I was in 602. The furniture was old and ""dinged"", the bathtub was 1960s with old loose caulking, handles falling off and mold growing all over the door jams. If you like old world stuff, this might be the place for you. Reminded me of the old Drake in Chicago. I would have to pass this up on my next visit.",negativo,1,1,1,1,0,0,0,1,alta
142181,38D596D13B7CB49AB63711073E976EEC,1.0,2.0,1.0,2.0,1.0,2.0,1.0,"“Could this be a worse dump?” Noisy, dirty and they managed to lose our laundry. So my favorite jeans are now history, along with my wife's. The front desk didn't even care. Bring your ear plugs. The curtains are filthy. The bed covers have burn holes, it just disgusting. Don't even consider it.",negativo,1,1,0,0,0,1,0,1,alta
102710,4DE0A7F93586E580F4FC11291ADDC48B,1.0,2.0,3.0,2.0,2.0,3.0,,"“An unpleasant place to stay” I spent the weekend at this hotel, that had just changed ownership to Sheraton, four months before. After a few problems I decided to take notes: The room doors slam at early hours of the morning. There just a hole on the bathroom door frame rather than a striker plate. This means that the door only somewhat closes and rattles. The surface of the bathroom ceiling all bubbled and discolored. There were three thermostats in the room, two identical on the wall. We had no idea which to use. The closet door does not slide open without a great effort. Auxiliary entrance doors gave the hours when the doors were to be locked, but they were locked too early. They were supposed to be unlocked at 6am and we could not use them and 9am and so had to walk around the building. Even major doors do not have power openers making it hard to get luggage out. The shower has smooth and a little slippery floor, but there are no handholds for support. The elevators were a study in themselves. --They skipped floors. -- Closing doors could be stopped with and arm but would not open to release arm. --They seemed to be badly programmed, and there were long queues formed. -- It was not uncommon to have 7-minute waits for the elevator and then have two cars arrive seconds apart.",negativo,1,0,1,0,0,0,0,1,alta
612263,56B053CE2E4D5C246634FE0D686C6971,1.0,1.0,1.0,5.0,2.0,3.0,,“Worst experience in NY” The hotel I normally stay at in NYC was booked. I booked the Hotel Mela as a package through US Airways. What an awful experience. The rooms were tiny--I listened to couple after couple beg to be put in a larger room only to be told it would be another $100 plus per night. There is no concierge and really no bell person. The front desk staff was very unhelpful even doing simple things like getting us a cab. It took 45 minutes just to get ice to the room. There is no way to get help with tickets or dinner reservations. We ended up using the services at the Marriott and the Broadway Millenium across the street. A large part of the space minus the bed in the room is taken up with a basket full of items they want you to buy and a charge bar. There is no drawer space and a tiny closet. Service seemed to worse for those who booked a package--probably figured we had already paid and there was nothing we could do. You can do a lot better in NYC.,negativo,0,1,0,1,1,1,0,1,alta
73718,CD76BEDF307AF8F42B6B18A512BFCDBA,2.0,2.0,3.0,3.0,2.0,2.0,3.0,"“Not such a great value, location misleading” The location of this hotel according to Expedia and Google Maps is within 3-4 blocks of the Arizona Center. This is NOT the case. It's actually about 15 long Phoenix blocks from AZ center. But that is not the main reason I'm giving the hotel a poor rating. The hotel is not really maintained well. The electrical outlets were grimy and somewhat scary. My colleague complained to me about hearing the person upstairs taking a pee. The continental breakfast should be skipped altogether. The front desk clerk recommended a cafe with only sandwiches for dinner when we asked for a proper restaurant. On the bright side, the bed was clean and the wi-fi worked ok. The pillows were way too hard. We paid $99/night using Expedia, but there are likely cheaper hotels for the same quality and same distance from downtown.",negativo,1,1,1,1,1,1,1,0,alta
223013,86FF5D732D7ACDB4FC79FAADECE15738,1.0,2.0,1.0,,4.0,3.0,,"“Not up to par” Our stay at the BH Plaza was adequate at best. The location was great for us, as we were attending a wedding around the corner, and our room was spacious (an end suite way back by the waterfall). The lobby staff, though, was unhelpful and at times downright rude, and the last day, I noticed that some of my jewelry had gone missing. I asked when we checked out, and the concierge said that the only person that had gone into our room was housecleaning. She said I had to ask them, but no housekeeping staff could be found. I called back 3 times that week and each time was given the brush-off. No help searching for the jewelry or inquiring about it. For the price of our stay, we should have gotten better service.",negativo,1,1,1,0,1,1,0,1,alta
112437,753F229B7A4CA4BEC9F52B28D717C001,2.0,3.0,3.0,4.0,3.0,3.0,,"“Seen Better Days” This was a Priceline stay, and it was rated 3*, This property has seen better days, like 25 years ago. It was nice once, I'm sure. Now, it's very dated with parts of old features still around. It was very close to the SeaTac airport. They don't have their own shuttle, you use one of the parking lot buses. There are four, I believe; A,B,C, and D. That's confusing, only one works. My room was large, but it had an irregular shape. Things all worked, but the bathroom was outmoded. The employees were OK, no one stood out. For a 3* property it did not make it. This Red Lion is 2.5* at best.",negativo,1,1,1,0,1,0,0,1,alta
81699,48DD1F698B24F5955B313C697BDBA3B2,2.0,3.0,4.0,3.0,2.0,2.0,1.0,"“Love the DoubleTree chain, but not this location” There was a convention at the DT this weekend. The guests were extremely rude running up and down the halls all night. The pool hours were posted as 8am to 11pm, which is WAY too late if you have a room facing the pool. Guests were in the pool before 6am making noise! I called down to the front desk and was told the pool opened at 6am! The property itself is very old. The rooms have not been updated in quiet a while (albeit they have nice flat screen tv). The interior doors are ugly brown with cheap wood veneer paneling that is chipping and peeling. Guests are allowed to smoke on the verandas but the smoke just blows right back into the rooms and the hallways. The hallways reeked of marijuana this morning when we went down for breakfast. I complained to the front desk and I did receive compensation; however, that DID NOT help the lack of sleep! i will not stay at this location again. I am a Hilton-diamond",negativo,0,1,1,1,1,1,0,1,alta
98457,EA9B1A2C843F2817574D86EEEC54466C,2.0,1.0,1.0,1.0,2.0,3.0,,"“Wouldn't go back” We had such a negative experience at the Radission Austin that by the end of the weekend we started to ignore further problems. Advertisements for this hotel promise a ""Sleep Number"" bed and a view of the lake or the city. After checking in we learned that the Sleep Number beds are only available on a limited number of floors (less than half) in the hotel. Because the hotel was full with weekend events, no switch would be possible. Additionally, our room looked out on a dirty rooftop with a piecemeal view of the lake - between parked cars in the adjacent parking structure. So we kept the drapes pulled for most of the weekend. Despite leaving the room for several hours during the day on Saturday, our room was never cleaned during our stay - so Sunday morning we were still looking at wine glasses from Friday night. The front desk promised to bring some amenities right away that we'd forgotten and called about - 45 minutes later, we had to come up with another solution or risk missing the event we were in town for. Overall, for the price that we paid and the service we expected from a hotel chain of the class that the Radisson likes to advertise, we were severely disappointed and would reconsider booking at another hotel chain in other cities, much less in Austin again. It might have a good location, but so do several other hotels.",negativo,1,1,1,1,1,1,0,1,alta
