seed,f1_macro,mae
0,0.6189,0.1666
1,0.7958,0.1296
2,0.6471,0.1436
3,0.7253,0.1425
4,0.6255,0.1298
5,0.7857,0.1406
6,0.748,0.1319
7,0.7461,0.1288
8,0.6788,0.1507
9,0.6383,0.148
10,0.662,0.1404
11,0.6781,0.1627
12,0.6969,0.1593
13,0.7243,0.1481
14,0.688,0.133
15,0.7329,0.1268
16,0.783,0.1622
17,0.6825,0.1414
18,0.6825,0.145
19,0.7862,0.1267
20,0.7398,0.1375
21,0.669,0.1456
22,0.7269,0.13
23,0.6694,0.1488
24,0.6693,0.1368
25,0.7097,0.1406
26,0.5865,0.1368
27,0.5973,0.167
28,0.6637,0.144
29,0.638,0.1312
