seed,f1_macro,mae
0,0.5033,0.1684
1,0.6557,0.1672
2,0.6727,0.1846
3,0.6649,0.1221
4,0.6162,0.1415
5,0.6698,0.1855
6,0.6063,0.1729
7,0.634,0.156
8,0.6242,0.1642
9,0.6551,0.1509
10,0.634,0.1675
11,0.6263,0.171
12,0.605,0.1603
13,0.5711,0.144
14,0.6739,0.1433
15,0.7091,0.1358
16,0.7016,0.1539
17,0.6742,0.1672
18,0.6743,0.1591
19,0.6866,0.1306
20,0.6519,0.1417
21,0.7062,0.1297
22,0.6623,0.1357
23,0.5632,0.1593
24,0.6429,0.1632
25,0.5961,0.156
26,0.5909,0.1669
27,0.6534,0.1702
28,0.5525,0.1623
29,0.5821,0.1724
